src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.2,172.18.0.3,54941,80,6,2026-06-04 00:31:42,13.0,22000000.0,230769.23076923078,153846.15384615384,76923.07692307692,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,6.5,8.0,5.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54942,80,6,2026-06-04 00:31:42,12.0,23833333.333333332,250000.0,166666.66666666666,83333.33333333333,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,6.0,7.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54943,80,6,2026-06-04 00:31:42,28.0,10214285.714285715,107142.85714285714,71428.57142857143,35714.28571428572,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,14.0,24.0,4.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54944,80,6,2026-06-04 00:31:42,6.0,47666666.666666664,500000.0,333333.3333333333,166666.66666666666,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,3.0,3.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54945,80,6,2026-06-04 00:31:42,15.0,19066666.666666668,200000.0,133333.33333333334,66666.66666666667,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,7.5,8.0,7.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54946,80,6,2026-06-04 00:31:42,14.0,20428571.42857143,214285.7142857143,142857.14285714287,71428.57142857143,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,7.0,7.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54947,80,6,2026-06-04 00:31:42,12.0,23833333.333333332,250000.0,166666.66666666666,83333.33333333333,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,6.0,7.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54948,80,6,2026-06-04 00:31:42,14.0,20428571.42857143,214285.7142857143,142857.14285714287,71428.57142857143,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,7.0,8.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54949,80,6,2026-06-04 00:31:42,16.0,17875000.0,187500.0,125000.0,62500.0,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,8.0,9.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
172.18.0.2,172.18.0.3,54950,80,6,2026-06-04 00:31:42,19.0,15052631.578947367,157894.73684210525,105263.15789473684,52631.57894736842,2,1,228,58,174,54,114.0,60.0,58,58,58.0,0.0,174,54,95.33333333333333,55.649698012557884,3096.8888888888887,40,20,20,1,9.5,11.0,8.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,95.33333333333333,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,58.0,0,2,1,228,58
